Manufacturer,Model,Gen.,Year,Year-Format,Width,Height,Cells,Type,Velocity,Display,Add. Buttons,Add. Misc UI,Tesselation
Novation,Launchpad,1,2009,2009-01-01,8,8,64,Controller,No,No,Yes,No,r
Novation,Launchpad S,2,2013,2013-01-01,8,8,64,Controller,No,No,Yes,No,r
Novation,Launchpad Mk2,3,2015,2015-01-01,8,8,64,Controller,No,No,Yes,No,r
Novation,Launchpad X,4,2019,2019-01-01,8,8,64,Controller,Yes,No,Yes,No,r
Novation,Launchpad Mini,1,2013,2013-01-01,8,8,64,Controller,No,No,Yes,No,r
Novation,Launchpad Mini Mk2,2,2015,2015-01-01,8,8,64,Controller,No,No,Yes,No,r
Novation,Launchpad Mini Mk3,3,2019,2019-01-01,8,8,64,Controller,No,No,Yes,No,r
Novation,Launchpad Pro,1,2015,2015-01-01,8,8,64,Sequencer,Yes,No,Yes,No,r
Novation,Launchpad Pro Mk3,3,2020,2020-01-01,8,8,64,Sequencer,Yes,No,Yes,No,r
Novation,Launchkey Mini,1,2013,2013-01-01,8,2,16,Keyboard,Yes,No,Yes,Yes,r
Novation,Launchkey Mini Mk2,2,2015,2015-01-01,8,2,16,Keyboard,Yes,No,Yes,Yes,r
Novation,Launchkey Mini Mk3,3,2019,2019-01-01,8,2,16,Keyboard,Yes,No,Yes,Yes,r
Novation,Launchkey 25,1,2013,2013-01-01,8,2,16,Keyboard,No,Yes,Yes,Yes,r
Novation,Launchkey 25 Mk2,2,2015,2015-01-01,8,2,16,Keyboard,No,Yes,Yes,Yes,r
Novation,Launchkey 25 Mk3,3,2020,2020-01-01,8,2,16,Keyboard,No,Yes,Yes,Yes,r
Novation,Launchkey 37 Mk3,1,2020,2020-01-01,8,2,16,Keyboard,No,Yes,Yes,Yes,r
Novation,Launchkey 49,1,2013,2013-01-01,8,2,16,Keyboard,No,Yes,Yes,Yes,r
Novation,Launchkey 49 MK2,2,2015,2015-01-01,8,2,16,Keyboard,No,Yes,Yes,Yes,r
Novation,Launchkey 49 MK3,3,2020,2020-01-01,8,2,16,Keyboard,No,Yes,Yes,Yes,r
Novation,Launchkey 61,1,2013,2013-01-01,8,2,16,Keyboard,No,Yes,Yes,Yes,r
